Match Num,TeamA,TeamB,TeamA Score,TeamB Score,Winner
001,USA,KEN,3,0,0
002,CMR,RUS,0,3,1
003,ARG,NED,0,3,1
004,CHN,KOR,3,0,0
005,SRB,BRA,2,3,1
006,DOM,JPN,1,3,1
007,KEN,NED,0,3,1
008,CMR,CHN,0,3,1
009,USA,SRB,3,1,0
010,KOR,DOM,1,3,1
011,BRA,ARG,3,0,0
012,RUS,JPN,3,2,0
013,SRB,KEN,3,0,0
014,DOM,CMR,3,2,0
015,ARG,USA,1,3,1
016,CHN,RUS,3,0,0
017,NED,BRA,3,0,0
018,JPN,KOR,1,3,1
019,SRB,ARG,3,1,0
020,RUS,KOR,3,0,0
021,USA,NED,3,0,0
022,CHN,DOM,3,0,0
023,KEN,BRA,0,3,1
024,CMR,JPN,0,3,1
025,NED,SRB,2,3,1
026,DOM,RUS,2,3,1
027,ARG,KEN,3,0,0
028,KOR,CMR,3,0,0
029,BRA,USA,0,3,1
030,JPN,CHN,0,3,1
031,KOR,ARG,3,1,0
032,DOM,KEN,3,0,0
033,CMR,NED,0,3,1
034,CHN,BRA,3,2,0
035,RUS,SRB,3,1,0
036,JPN,USA,2,3,1
037,KOR,NED,1,3,1
038,DOM,BRA,1,3,1
039,CMR,SRB,0,3,1
040,CHN,USA,3,0,0
041,RUS,ARG,3,0,0
042,JPN,KEN,3,0,0
043,KOR,SRB,3,1,0
044,DOM,USA,0,3,1
045,CMR,ARG,2,3,1
046,CHN,KEN,3,0,0
047,RUS,NED,3,0,0
048,JPN,BRA,0,3,1
049,KOR,KEN,3,0,0
050,DOM,ARG,3,0,0
051,CMR,BRA,0,3,1
052,CHN,NED,3,1,0
053,RUS,USA,2,3,1
054,JPN,SRB,3,2,0
055,KOR,BRA,3,1,0
056,DOM,NED,3,2,0
057,CMR,USA,0,3,1
058,CHN,SRB,3,0,0
059,RUS,KEN,3,0,0
060,JPN,ARG,3,0,0
061,KOR,USA,1,3,1
062,DOM,SRB,3,1,0
063,RUS,BRA,1,3,1
064,CHN,ARG,3,0,0
065,CMR,KEN,1,3,1
066,JPN,NED,3,1,0
