Jersey,Player,Yr,Pos,Ht,GP,GS,MP,S,MP.1,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
1,"Roe, Tori",Sr,L,5-6,114,,,114,28.0,,3,3,12,0.0,103.0,9.0,15.0,554.0,27.0,,,,12.0,1.0,,
10,"Bergman, Bria",Sr,S,5-9,114,,,114,28.0,28.0,101,24,290,0.266,1100.0,15.0,10.0,323.0,3.0,3.0,52.0,5.0,145.0,18.0,,
14,"Mikulic, Katarina",Jr,OH,5-10,108,,,108,28.0,17.0,208,114,746,0.126,16.0,15.0,23.0,281.0,33.0,3.0,25.0,8.0,238.5,2.0,,
15,"Blomquist, Morgan",So,MB,6-0,106,,,106,28.0,23.0,178,62,488,0.23800000000000002,4.0,3.0,3.0,27.0,1.0,7.0,77.0,7.0,226.5,,,
12,"Greenlee, Bri",Jr,RS,6-1,101,,,101,27.0,23.0,144,52,416,0.221,2.0,2.0,7.0,39.0,1.0,15.0,94.0,12.0,208.0,,,
6,"Inkret, Inka",Fr,OH,5-11,94,,,94,25.0,21.0,211,104,718,0.149,22.0,11.0,28.0,209.0,31.0,1.0,30.0,3.0,238.0,,,
17,"Madison, CeCe",Jr,OH,5-10,84,,,84,22.0,21.0,242,132,692,0.159,24.0,12.0,29.0,310.0,17.0,2.0,48.0,5.0,280.0,2.0,,
11,"Nero, Taylan",Jr,MB,5-11,82,,,82,25.0,19.0,141,55,349,0.24600000000000002,5.0,,3.0,35.0,1.0,4.0,68.0,10.0,179.0,,,
13,"Thiessen, Sarah",Fr,DS,5-5,80,,,80,25.0,4.0,0,1,4,-0.25,20.0,8.0,7.0,150.0,14.0,,,,8.0,,,
16,"Picht, Lara",Sr,OH,5-11,69,,,69,20.0,12.0,159,77,599,0.13699999999999998,12.0,2.0,4.0,86.0,7.0,1.0,15.0,2.0,169.5,,,
3,"King, Mya",Fr,OH,5-9,53,,,53,15.0,,1,3,8,-0.25,,9.0,14.0,11.0,,,,,10.0,,,
8,"Mayes, Victoria",Fr,RS,6-0,4,,,4,4.0,,2,0,6,0.33299999999999996,,,,,,,,,2.0,,,
-,TEAM,-,-,-,-,-,,13,11.0,,0,0,0,,,,,,9.0,,,,,,,
-,Totals,-,-,-,-,-,,114,,,1390,627,4328,0.17600000000000002,1308.0,86.0,143.0,2025.0,144.0,36.0,409.0,52.0,1716.5,23.0,,
-,Opponent Totals,-,-,-,-,-,,114,,,1552,617,4489,0.20800000000000002,1450.0,144.0,232.0,2015.0,86.0,32.0,437.0,49.0,1946.5,41.0,,
