Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
10,"Espinoza, Catie",Jr,OH,6-0,94,0,94,27.0,2,0,6,0.33299999999999996,69.0,15.0,14.0,423.0,26.0,,,,17.0,,
1,"Williams, Bailey",So,OH,5-8,88,0,88,26.0,277,152,840,0.149,17.0,19.0,23.0,225.0,23.0,2.0,30.0,22.0,313.0,,
14,"Glass, Jordan",Sr,OH,6-0,85,0,85,27.0,154,56,420,0.233,2.0,4.0,14.0,87.0,3.0,7.0,56.0,7.0,193.0,1.0,
12,"Wells, Mikala",So,OH,5-11,76,0,76,24.0,190,125,596,0.109,8.0,10.0,16.0,148.0,27.0,3.0,20.0,3.0,213.0,1.0,
3,"Konchan, Emily",Fr,S,5-10,74,0,74,23.0,31,9,109,0.20199999999999999,587.0,16.0,13.0,100.0,,,12.0,5.0,53.0,30.0,
16,"Santos, Katrina",So,MB,6-2,63,0,63,21.0,95,50,264,0.17,,,,4.0,1.0,1.0,33.0,11.0,112.5,3.0,
4,"Jarvenpaa, Pihla",Jr,MB,6-0,62,0,62,24.0,87,59,296,0.095,8.0,11.0,12.0,47.0,6.0,1.0,43.0,4.0,120.5,,
7,"French, Maddie",Jr,OH,5-11,60,0,60,23.0,95,64,326,0.095,9.0,4.0,21.0,96.0,24.0,,11.0,2.0,104.5,,
5,"Fanoga, Sydney",Sr,MB,6-0,57,0,57,19.0,101,51,284,0.17600000000000002,2.0,3.0,3.0,23.0,,2.0,30.0,7.0,121.0,1.0,
8,"Leite, Licie",Fr,OH,5-11,55,0,55,18.0,19,14,93,0.054000000000000006,9.0,3.0,14.0,90.0,1.0,,6.0,1.0,25.0,,
6,"Schaller, Kelly",Sr,S,5-11,46,0,46,20.0,13,1,60,0.2,275.0,5.0,11.0,75.0,1.0,1.0,5.0,1.0,21.5,11.0,
9,"Mennes, Ashley",Sr,DS,5-6,9,0,9,8.0,0,0,0,,1.0,,1.0,5.0,2.0,,,,,,
2,"Haak, Emily",Fr,DS,5-7,2,0,2,2.0,0,0,0,,,,,,,,,,,,
-,TEAM,-,-,-,-,-,24,19.0,0,0,0,,,,,,24.0,,,,,,
-,Totals,-,-,-,-,-,94,,1064,581,3294,0.147,987.0,90.0,142.0,1323.0,138.0,17.0,246.0,63.0,1294.0,47.0,
-,Opponent Totals,-,-,-,-,-,94,,1271,411,3238,0.266,1161.0,138.0,211.0,1391.0,90.0,37.0,313.0,52.0,1602.5,32.0,
